game_pk,pitcher,outs,hits,earned_runs,walks,hit_batters,strikeouts_official,home_runs_allowed
825107,694851,6,0,0,1,0,3,0
825107,694297,18,6,5,1,0,3,0
825107,623149,3,0,0,0,0,3,0
825107,663554,18,4,1,2,0,9,1
825107,623454,3,2,2,0,0,2,0
825107,445276,1,1,1,0,0,1,1
825107,676684,2,1,3,2,0,0,0
825108,666661,1,0,0,0,0,0,0
825108,656464,3,0,0,0,0,1,0
825108,605452,2,5,6,1,0,1,0
825108,623149,3,0,0,0,0,1,0
825108,647336,15,4,0,1,0,10,0
825108,664199,3,0,0,0,0,1,0
825108,657044,0,1,0,2,0,0,0
825108,676428,6,2,1,0,0,0,1
825108,663947,3,0,0,2,0,1,0
825108,640448,1,0,0,0,0,0,0
825108,646241,3,3,3,2,0,1,0
825108,434378,11,6,5,2,0,1,1
824292,664285,21,4,1,2,0,1,0
824292,445276,3,1,0,0,0,0,0
824292,676684,3,0,0,0,0,3,0
824292,666142,18,1,0,4,0,1,0
824292,621381,3,1,0,1,0,1,0
824292,683232,3,2,2,1,0,0,0
824291,663947,2,2,0,0,0,0,0
824291,640448,4,1,0,0,0,0,0
824291,445276,3,1,0,0,0,1,0
824291,656427,18,2,1,3,0,7,0
824291,669212,3,2,1,1,0,1,1
824291,663738,1,0,0,0,0,1,0
824291,607625,20,5,1,0,0,7,0
824297,676428,3,0,0,0,0,1,0
824297,640448,3,0,0,1,0,0,0
824297,445276,3,0,0,0,0,1,0
824297,672456,18,2,0,1,0,7,0
824297,669199,6,1,0,0,0,3,0
824297,663978,18,7,2,1,0,4,1
824295,676428,3,0,0,1,0,0,0
824295,623454,3,1,1,0,1,1,1
824295,663947,3,1,0,0,1,0,0
824295,445276,1,0,0,1,0,1,0
824295,656427,12,3,5,4,3,6,0
824295,676684,3,1,0,0,0,1,0
824295,694335,7,3,1,1,0,1,1
824295,688297,3,2,2,2,0,2,1
824295,677865,4,0,1,1,0,1,0
824295,669160,10,7,7,2,1,4,2
823324,650633,15,1,0,4,1,6,0
823324,688158,3,1,0,1,0,0,0
823324,593974,1,2,0,0,0,0,0
823324,669093,2,1,4,3,0,2,0
823324,670970,6,1,0,0,0,1,0
823324,664285,18,7,1,1,0,5,0
823324,640448,3,0,0,1,0,2,0
823324,445276,3,0,0,0,0,3,0
823324,646241,3,1,0,0,0,2,0
831856,801842,3,1,0,0,0,0,0
831856,657514,3,2,2,0,1,0,0
831856,692589,1,1,1,0,0,0,1
831856,814106,3,1,1,0,0,1,1
831856,688642,3,3,2,0,0,0,1
831856,623474,1,2,3,1,0,0,1
831856,608372,13,6,2,3,0,4,1
831856,676428,1,0,0,0,0,0,0
831856,434378,14,8,5,1,1,4,2
831856,663554,12,6,2,0,0,3,0
824775,669711,3,1,0,0,0,0,0
824775,677161,3,1,0,0,0,0,0
824775,678394,12,5,4,3,0,4,1
824775,663558,9,1,0,1,0,3,0
824775,669373,18,4,1,2,0,10,0
824775,663947,6,0,0,0,0,2,0
824775,445276,3,1,0,0,0,0,0
824286,663554,18,3,1,3,0,7,0
824286,640448,3,0,0,0,0,1,0
824286,445276,3,1,0,2,0,1,0
824286,676684,3,2,1,0,0,0,0
824286,694477,12,6,4,1,0,2,1
824286,692230,6,3,1,0,0,2,1
824286,669084,6,0,0,2,0,2,0
824280,676428,2,1,1,2,0,1,0
824280,680744,1,1,0,0,0,0,0
824280,623454,12,1,0,0,0,1,0
824280,572143,6,1,0,0,0,1,0
824280,445276,3,0,0,0,0,2,0
824280,669724,3,1,1,0,0,1,0
824280,573009,3,1,0,0,0,0,0
824280,656546,2,2,1,1,0,2,0
824280,702056,18,4,2,3,0,6,0
824280,680755,3,0,0,1,0,1,0
824529,572955,3,0,0,0,0,0,0
824529,663574,3,3,3,0,0,1,2
824529,693312,3,2,0,3,0,0,0
824529,668933,3,0,0,1,0,0,0
824529,656271,3,0,0,0,1,1,0
824529,671096,12,6,5,2,0,4,2
824529,664285,13,4,2,5,0,4,1
824529,676428,1,1,0,0,0,1,0
824529,623454,3,0,0,0,0,2,0
824529,640448,5,2,1,0,0,4,1
824529,445276,2,2,2,0,0,1,1
824529,676684,2,2,2,1,0,1,1
824930,669276,5,0,0,0,0,4,0
824930,702275,16,5,2,4,0,4,1
824930,625643,6,0,0,0,0,2,0
824930,669373,21,5,2,0,0,7,1
824930,640448,3,0,0,2,0,1,0
824930,445276,0,1,2,1,0,0,1
823631,623211,7,0,0,0,0,2,0
823631,596133,3,1,0,1,0,1,0
823631,642207,3,0,0,1,0,1,0
823631,681035,14,7,2,2,1,5,0
823631,548384,3,0,0,1,0,1,0
823631,664285,20,5,2,2,1,7,0
823631,623454,1,1,0,0,0,1,0
823631,640448,4,1,0,0,0,1,0
823631,445276,3,0,0,0,0,3,0
824283,680744,15,4,0,0,0,7,0
824283,663947,3,2,0,0,0,1,0
824283,445276,3,0,0,1,0,1,0
824283,646241,4,3,1,1,0,2,0
824283,676568,2,3,4,1,0,0,1
824283,676477,3,2,2,1,0,2,0
824283,801139,21,1,0,1,1,8,0
824283,547973,3,0,0,0,0,1,0
824113,683232,2,2,2,0,0,1,1
824113,663738,2,2,1,1,0,1,0
824113,702070,12,4,3,3,0,4,0
824113,656638,5,0,0,1,0,0,0
824113,674444,3,1,0,1,0,2,0
824113,670167,3,0,0,1,0,1,0
824113,676428,4,0,0,1,0,1,0
824113,623454,6,5,3,0,0,4,0
824113,640448,5,1,0,2,0,0,0
824113,445276,3,0,0,0,0,2,0
824113,646241,7,0,0,0,0,1,0
824113,669724,2,2,0,0,0,0,0
824278,663554,18,2,0,0,0,4,0
824278,663947,3,2,0,0,0,0,0
824278,640448,3,1,1,1,0,0,1
824278,445276,3,0,0,0,0,1,0
824278,657756,3,0,0,0,0,1,0
824278,693686,11,2,0,2,0,5,0
824278,667297,3,0,0,0,0,1,0
824278,686973,6,2,0,0,0,2,0
824278,689254,4,1,0,0,0,3,0
824278,680755,3,1,1,0,0,2,1
824278,643511,3,1,0,0,0,1,0
824270,663554,12,2,0,1,0,6,0
824270,623454,9,0,0,0,0,3,0
824270,640448,3,0,0,0,0,0,0
824270,445276,2,0,0,1,0,0,0
824270,669724,1,0,0,1,0,0,0
824270,667755,15,7,3,4,0,4,1
824270,608718,9,3,0,0,0,2,0
824264,669373,17,7,3,1,0,8,2
824264,623454,4,1,0,0,0,3,0
824264,445276,3,0,0,0,0,1,0
824264,676684,3,0,0,1,0,0,0
824264,685126,4,2,2,0,0,2,1
824264,622554,3,1,0,0,0,0,0
824264,669684,3,1,0,0,0,1,0
824264,607200,14,4,2,1,0,4,0
824839,669211,3,2,1,2,0,1,0
824839,687064,20,5,0,2,0,4,0
824839,608650,4,0,0,0,0,1,0
824839,664285,18,2,1,2,0,5,1
824839,640448,2,2,1,1,0,0,0
824839,445276,3,1,3,2,0,0,1
824839,676684,3,0,0,0,0,1,0
824263,663947,6,2,0,0,0,2,0
824263,445276,3,1,0,1,0,0,0
824263,675512,18,1,1,3,1,5,1
824263,670950,3,1,1,0,0,1,1
824263,697812,7,5,2,2,0,1,0
824263,669684,3,1,0,0,0,1,0
824263,656794,9,0,0,0,0,4,0
824263,699823,2,0,0,3,0,0,0
824426,670059,3,1,0,0,1,2,0
824426,671922,4,1,0,1,0,2,0
824426,676282,15,6,1,0,0,4,0
824426,683769,3,0,0,1,0,0,0
824426,682120,2,1,0,0,0,2,0
824426,669373,14,5,2,1,1,4,1
824426,663947,3,1,0,0,0,0,0
824426,640448,4,2,0,0,0,0,0
824426,445276,3,0,0,0,0,2,0
824258,663947,3,1,0,0,0,0,0
824258,640448,3,0,0,0,0,1,0
824258,445276,3,2,1,0,0,0,0
824258,675512,18,2,1,0,0,6,1
824258,660853,3,2,1,0,0,0,1
824258,805123,6,1,0,0,0,3,0
824258,837227,18,2,0,1,0,10,0
824273,676428,4,0,0,1,0,0,0
824273,623454,14,2,0,2,0,7,0
824273,663947,3,2,1,0,0,1,0
824273,640448,3,2,0,0,0,1,0
824273,445276,3,0,0,1,0,1,0
824273,676684,3,2,1,0,0,1,0
824273,670059,2,0,0,0,0,2,0
824273,671922,3,1,0,0,0,1,0
824273,681870,1,0,0,2,0,1,0
824273,676440,24,4,1,1,0,5,0
824256,621097,2,0,0,0,0,0,0
824256,663947,5,1,0,0,0,0,1
824256,640448,4,2,1,1,0,3,1
824256,445276,4,2,3,1,0,1,1
824256,656427,15,2,0,3,0,9,0
824256,650556,2,1,0,1,0,0,0
824256,686613,18,5,2,2,0,4,1
824256,623352,3,0,0,3,0,2,0
824256,660853,3,2,1,1,0,1,1
824256,595345,1,0,0,0,0,0,0
824256,687911,3,1,0,0,0,0,0
824650,573204,3,1,0,0,0,2,0
824650,621053,3,2,1,0,0,1,0
824650,668970,3,0,0,0,0,1,0
824650,669020,3,0,0,0,0,3,0
824650,607067,15,6,4,1,0,5,2
824650,623454,3,1,0,0,0,2,0
824650,640448,3,0,0,0,1,1,0
824650,445276,3,0,0,1,0,1,0
824650,805427,2,0,0,0,0,0,0
824650,672456,16,3,1,0,0,8,1
822879,677958,13,5,3,1,0,4,1
822879,682608,3,1,0,1,0,0,0
822879,695239,0,3,2,1,0,0,0
822879,686560,5,0,0,1,0,3,0
822879,668390,6,1,0,0,0,3,0
822879,663554,20,5,2,2,0,4,1
822879,623454,3,1,1,0,0,0,1
822879,445276,3,0,0,0,0,0,0
822879,805427,1,0,0,0,0,1,0
822884,682608,2,1,0,1,0,1,0
822884,641302,2,1,0,1,0,1,0
822884,695239,2,0,0,0,0,1,0
822884,686560,3,1,0,0,0,1,0
822884,543135,15,6,3,1,0,9,2
822884,668390,3,2,1,0,0,1,0
822884,664285,15,9,5,2,0,1,1
822884,689225,5,1,1,0,0,1,1
822884,640448,3,3,1,0,0,1,1
822884,445276,1,0,0,1,0,0,0
822884,805427,0,4,3,1,0,0,0
824654,665871,3,2,0,1,0,2,0
824654,573204,1,0,0,0,0,0,0
824654,621053,3,1,1,0,0,1,1
824654,592791,13,5,4,2,0,6,2
824654,657097,3,0,0,1,0,1,0
824654,668970,2,2,0,0,0,1,0
824654,669020,5,1,0,0,0,0,0
824654,663423,0,1,1,0,0,0,0
824654,621097,4,1,0,0,0,1,0
824654,663947,3,2,0,0,0,0,0
824654,640448,4,2,2,0,0,2,1
824654,445276,3,1,0,2,0,2,0
824654,656427,12,4,3,2,0,4,2
824654,805427,4,1,0,1,0,1,0
824249,663554,17,5,3,2,0,5,0
824249,623454,4,0,0,0,0,2,0
824249,663947,3,1,0,0,0,1,0
824249,445276,3,1,0,0,0,1,0
824249,650911,21,10,2,1,0,7,1
824249,661395,3,0,0,0,0,0,0
824249,680742,3,0,0,1,1,0,0
824007,681217,3,1,0,0,0,0,0
824007,696270,15,2,1,3,0,5,1
824007,696147,3,0,0,0,0,0,0
824007,666171,3,1,1,0,0,0,1
824007,696519,3,0,0,0,0,2,0
824007,663554,10,5,1,1,0,5,0
824007,623454,4,1,1,3,0,1,0
824007,663947,4,1,0,0,1,2,0
824007,445276,3,0,0,1,0,2,0
824007,669724,3,2,1,0,0,0,0
824251,664285,21,3,1,0,2,9,0
824251,640448,3,1,0,0,0,1,0
824251,445276,3,1,0,1,0,1,0
824251,660761,4,0,0,0,0,2,0
824251,663687,3,2,1,1,0,2,1
824251,665622,5,1,0,0,0,1,0
824251,643410,3,1,0,0,1,2,0
824251,678022,9,2,3,2,0,2,2
824248,669373,22,4,1,2,0,12,0
824248,445276,3,0,0,0,0,1,0
824248,669724,2,0,0,0,0,0,0
824248,694360,3,3,2,0,1,0,0
824248,702070,21,2,0,3,0,8,0
823342,694973,13,4,3,4,0,5,0
823342,642397,5,1,0,0,0,2,0
823342,596133,3,0,0,0,0,1,0
823342,682254,3,2,0,0,0,2,0
823342,666808,3,0,0,1,0,1,0
823342,621097,2,1,1,0,0,0,1
823342,663947,2,1,0,0,0,2,0
823342,640448,3,0,0,2,0,1,0
823342,445276,2,2,2,0,0,1,2
823342,805427,1,0,0,0,0,1,0
823342,695549,16,4,1,3,1,3,0
824242,669373,20,4,3,1,0,6,0
824242,623454,4,1,2,1,0,2,0
824242,621097,5,0,1,1,0,0,0
824242,640448,0,2,2,1,0,0,0
824242,445276,3,0,0,1,0,1,0
824242,805427,3,2,0,0,0,2,0
824242,669724,1,0,0,0,0,0,0
824242,669432,18,8,4,0,0,6,0
824242,669330,6,0,0,1,0,0,0
824242,670329,2,1,1,0,1,0,1
824242,689296,3,1,0,1,0,1,0
824242,552640,1,0,0,0,0,0,0
824242,664991,3,0,0,1,0,1,0
824242,666974,3,0,0,0,0,1,0
824972,665622,3,2,0,0,0,1,0
824972,660761,4,0,1,1,0,0,0
824972,678022,16,9,6,1,0,9,3
824972,656240,4,4,1,0,0,1,0
824972,664285,21,9,2,2,0,6,0
824972,621097,2,1,0,0,0,1,0
824972,640448,1,3,3,1,0,0,1
824972,445276,3,2,1,0,0,2,0
823343,642397,3,2,0,0,0,3,0
823343,670990,3,2,3,3,0,0,0
823343,676755,6,2,1,2,0,1,0
