game_date,game_pk,team,opponent,runs,plate_appearances,hits,home_runs,strikeouts,walks,iso,k_rate,bb_rate,hr_rate,runs_last14,k_rate_last14,bb_rate_last14,hr_rate_last14,iso_last14
2026-03-20,831931,ATH,CHC,6,76,17,5,24,6,0.21052631578947367,0.3157894736842105,0.07894736842105263,0.06578947368421052,,,,,
2026-03-21,831937,ATH,LAD,5,78,12,2,18,13,0.1282051282051282,0.23076923076923078,0.16666666666666666,0.02564102564102564,,,,,
2026-03-22,831945,ATH,COL,5,73,16,4,18,7,0.1917808219178082,0.2465753424657534,0.0958904109589041,0.0547945205479452,,,,,
2026-03-23,831915,ATH,CWS,10,92,23,1,15,17,0.14130434782608695,0.16304347826086957,0.18478260869565216,0.010869565217391304,5.333333333333333,0.26437801563973157,0.11383481534887446,0.04874167329106046,0.17683742197080335
2026-03-27,822839,ATH,TOR,2,68,10,2,19,6,0.14705882352941177,0.27941176470588236,0.08823529411764706,0.029411764705882353,6.5,0.23904438129501607,0.1315717636855689,0.03927364627264317,0.16795415343462425
2026-03-28,822838,ATH,TOR,7,97,22,2,26,13,0.08247422680412371,0.26804123711340205,0.13402061855670103,0.020618556701030927,5.6,0.24711785797718933,0.12290446977198452,0.037301269959291006,0.16377508745358177
2026-03-29,822837,ATH,TOR,2,65,11,4,22,4,0.2,0.3384615384615385,0.06153846153846154,0.06153846153846154,5.833333333333333,0.25060508783322477,0.12475716123610393,0.03452081774958099,0.15022494401200542
2026-03-30,824943,ATH,ATL,0,70,17,0,11,6,0.08571428571428572,0.15714285714285714,0.08571428571428572,0.0,5.285714285714286,0.2631560093515553,0.11572591842215503,0.038380481147992494,0.15733566629600462
2026-03-31,824942,ATH,ATL,5,74,14,2,17,7,0.10810810810810811,0.22972972972972974,0.0945945945945946,0.02702702702702703,4.625,0.24990436532546803,0.11197446433367136,0.033582921004493435,0.14838299372328978
2026-04-01,824940,ATH,ATL,1,65,11,1,16,5,0.07692307692307693,0.24615384615384617,0.07692307692307693,0.015384615384615385,4.666666666666667,0.24766273914816375,0.11004336769599615,0.0328544883403305,0.14390800643271404
2026-04-03,825026,ATH,HOU,11,80,19,2,16,12,0.125,0.2,0.15,0.025,4.3,0.247511849848732,0.10673133861870424,0.03110750104475899,0.1372095134817503
2026-04-04,825027,ATH,HOU,0,89,23,2,18,16,0.1348314606741573,0.20224719101123595,0.1797752808988764,0.02247191011235955,4.909090909090909,0.24319259077157457,0.11066485328973114,0.03055227367705363,0.1360995577106821
2026-04-05,825025,ATH,HOU,9,100,27,5,17,20,0.21,0.17,0.2,0.05,4.5,0.23978047412487968,0.11642405559049324,0.029878910046662457,0.1359938829576384
2026-04-07,823567,ATH,NYY,3,74,15,2,20,8,0.13513513513513514,0.2702702702702703,0.10810810810810811,0.02702702702702703,4.846153846153846,0.23441274534604278,0.12285297439122453,0.03142668619691919,0.1416866611916662
2026-04-08,823564,ATH,NYY,3,77,13,0,24,10,0.025974025974025976,0.3116883116883117,0.12987012987012986,0.0,4.714285714285714,0.23697399712634473,0.12179976965671621,0.031112424827641177,0.1412186950447711
2026-04-09,823565,ATH,NYY,1,66,9,0,16,3,0.045454545454545456,0.24242424242424243,0.045454545454545456,0.0,4.5,0.23668105698378053,0.12543710976022174,0.026413176707340426,0.128036388629382
2026-04-10,823643,ATH,NYM,4,70,15,0,14,4,0.02857142857142857,0.2,0.05714285714285714,0.0,4.214285714285714,0.2375135578162814,0.11677910110221308,0.024581674875838594,0.12212563271862609
2026-04-11,823644,ATH,NYM,11,86,25,6,21,8,0.22093023255813954,0.2441860465116279,0.09302325581395349,0.06976744186046512,4.142857142857143,0.23418674764015615,0.11401141868678114,0.020667780550985365,0.1104678189081704
2026-04-12,823642,ATH,NYM,1,65,8,1,15,4,0.06153846153846154,0.23076923076923078,0.06153846153846154,0.015384615384615385,4.214285714285714,0.23998264537235317,0.10745717919523123,0.02487477173977635,0.11615538210331701
2026-04-13,825024,ATH,TEX,1,76,16,3,20,7,0.14473684210526316,0.2631578947368421,0.09210526315789473,0.039473684210526314,4.142857142857143,0.2365081786625923,0.10555026258243227,0.023872832502542997,0.11004678481824914
2026-04-14,825022,ATH,TEX,2,69,8,0,19,12,0.043478260869565216,0.2753623188405797,0.17391304347826086,0.0,3.7142857142857144,0.23615936849283803,0.10255630862537468,0.025219627324649812,0.11449411448261625
2026-04-15,825021,ATH,TEX,6,74,12,4,19,11,0.1891891891891892,0.25675675675675674,0.14864864864864866,0.05405405405405406,3.7142857142857144,0.23165228137705526,0.11058306447821749,0.020824022929045418,0.10331399025901376
2026-04-16,825023,ATH,TEX,6,90,23,1,10,12,0.1,0.1111111111111111,0.13333333333333333,0.011111111111111112,4.142857142857143,0.23876755992090523,0.11507837611638627,0.02468502679004928,0.11070505479293544
2026-04-17,825019,ATH,CWS,2,79,19,1,16,8,0.11392405063291139,0.20253164556962025,0.10126582278481013,0.012658227848101266,4.214285714285714,0.2302948014481468,0.11784542888343905,0.02354817565319814,0.11012590421378486
2026-04-18,825020,ATH,CWS,6,103,18,5,13,18,0.1941747572815534,0.1262135922330097,0.17475728155339806,0.04854368932038835,4.285714285714286,0.22717892997784492,0.11958419644499142,0.023353433686304274,0.11276883090734446
2026-04-19,825018,ATH,CWS,4,78,15,5,22,6,0.2564102564102564,0.28205128205128205,0.07692307692307693,0.0641025641025641,3.9285714285714284,0.22190847228020275,0.12135257369880556,0.02503512578061773,0.11770988499888399
2026-04-20,823149,ATH,SEA,6,78,23,5,13,3,0.2564102564102564,0.16666666666666666,0.038461538461538464,0.0641025641025641,4.214285714285714,0.22760876449734893,0.11400598770053416,0.028008743922775192,0.12639408469431965
2026-04-21,823148,ATH,SEA,5,81,21,3,15,7,0.16049382716049382,0.18518518518518517,0.08641975308641975,0.037037037037037035,4.0,0.22737066925925367,0.10246752616207264,0.029016069930101203,0.12970910300933797
2026-04-22,823147,ATH,SEA,4,80,23,2,15,4,0.125,0.1875,0.05,0.025,4.142857142857143,0.2212931631817476,0.10091835794623774,0.029731070645101918,0.13152043815400644
2026-04-24,822909,ATH,TEX,8,72,17,5,12,2,0.2361111111111111,0.16666666666666666,0.027777777777777776,0.06944444444444445,4.214285714285714,0.21242256948972532,0.0952133486697999,0.0315167849308162,0.13859372201300457
2026-04-25,822910,ATH,TEX,3,70,12,1,15,5,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.014285714285714285,4.714285714285714,0.2070113140784699,0.09395072240717363,0.036477102391133664,0.15221204813133069
2026-04-26,822911,ATH,TEX,2,79,16,0,15,9,0.0759493670886076,0.189873417721519,0.11392405063291139,0.0,4.642857142857143,0.20803172224173522,0.09497113057043895,0.03749751055439897,0.1552732726211266
2026-04-28,825017,ATH,KC,1,85,16,2,18,9,0.11764705882352941,0.21176470588235294,0.10588235294117647,0.023529411764705882,4.0,0.20415224875672747,0.0964640444860788,0.03251412185008003,0.14491749651616007
2026-04-29,825015,ATH,KC,5,72,17,1,16,9,0.08333333333333333,0.2222222222222222,0.125,0.013888888888888888,4.0,0.20279478269337906,0.09963146530055843,0.033095893020086496,0.14892525346509347
